Frame,Alpha,Gamma,Temperature,Supersaturation,Area,Radius,Perimeter,dA_dt,dR_dt,dP_dt
42,0.3,0.0064,-11.2,0.32,7,1.4142135623730951,6,0,0.0,0
43,0.3,0.0064,-11.2,0.32,7,1.4142135623730951,6,0,0.0,0
44,0.3,0.0064,-11.2,0.32,7,1.4142135623730951,6,0,0.0,0
45,0.3,0.0064,-11.2,0.32,7,1.4142135623730951,6,0,0.0,0
46,0.3,0.0064,-11.2,0.32,7,1.4142135623730951,6,0,0.0,0
47,0.3,0.0064,-11.2,0.32,7,1.4142135623730951,6,0,0.0,0
48,0.3,0.0064,-11.2,0.32,7,1.4142135623730951,6,0,0.0,0
49,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,6,0.8218544151266947,5
50,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
51,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
52,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
53,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
54,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
55,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
56,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
57,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
58,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
59,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
60,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
61,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
62,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
63,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
64,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
65,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
66,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
67,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
68,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
69,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
70,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
71,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
72,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
73,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
74,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
75,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
76,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
77,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
78,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
79,0.3,0.0064,-11.2,0.32,13,2.23606797749979,11,0,0.0,0
80,0.3,0.0064,-11.2,0.32,19,3.605551275463989,17,6,1.3694832979641993,6
81,0.3,0.0064,-11.2,0.32,19,3.605551275463989,17,0,0.0,0
82,0.3,0.0064,-11.2,0.32,19,3.605551275463989,17,0,0.0,0
83,0.3,0.0064,-11.2,0.32,19,3.605551275463989,17,0,0.0,0
84,0.3,0.0064,-11.2,0.32,19,3.605551275463989,17,0,0.0,0
85,0.3,0.0064,-11.2,0.32,19,3.605551275463989,17,0,0.0,0
86,0.3,0.0064,-11.2,0.32,19,3.605551275463989,17,0,0.0,0
87,0.3,0.0064,-11.2,0.32,19,3.605551275463989,17,0,0.0,0
88,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,6,0.0,0
89,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
90,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
91,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
92,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
93,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
94,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
95,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
96,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
97,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
98,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
99,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
100,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
101,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
102,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
103,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
104,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
105,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
106,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
107,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
108,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
109,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
110,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
111,0.3,0.0064,-11.2,0.32,25,3.605551275463989,17,0,0.0,0
112,0.3,0.0064,-11.2,0.32,37,3.605551275463989,18,12,0.0,1
113,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,6,0.8665846795355905,5
114,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
115,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
116,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
117,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
118,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
119,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
120,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
121,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
122,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
123,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
124,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
125,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
126,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
127,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
128,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
129,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
130,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
131,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
132,0.3,0.0064,-11.2,0.32,43,4.47213595499958,23,0,0.0,0
133,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,12,0.0,3
134,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,0,0.0,0
135,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,0,0.0,0
136,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,0,0.0,0
137,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,0,0.0,0
138,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,0,0.0,0
139,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,0,0.0,0
140,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,0,0.0,0
141,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,0,0.0,0
142,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,0,0.0,0
143,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,0,0.0,0
144,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,0,0.0,0
145,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,0,0.0,0
146,0.3,0.0064,-11.2,0.32,55,4.47213595499958,26,0,0.0,0
147,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,6,1.3588159398457211,5
148,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
149,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
150,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
151,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
152,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
153,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
154,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
155,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
156,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
157,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
158,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
159,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
160,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
161,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
162,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
163,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
164,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
165,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
166,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
167,0.3,0.0064,-11.2,0.32,61,5.830951894845301,31,0,0.0,0
168,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,12,0.0,7
169,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,0,0.0,0
170,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,0,0.0,0
171,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,0,0.0,0
172,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,0,0.0,0
173,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,0,0.0,0
174,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,0,0.0,0
175,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,0,0.0,0
176,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,0,0.0,0
177,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,0,0.0,0
178,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,0,0.0,0
179,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,0,0.0,0
180,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,0,0.0,0
181,0.3,0.0064,-11.2,0.32,73,5.830951894845301,38,0,0.0,0
182,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,6,0.8772520376540687,5
183,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
184,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
185,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
186,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
187,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
188,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
189,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
190,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
191,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
192,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
193,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
194,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
195,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
196,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
197,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
198,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
199,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
200,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
201,0.3,0.0064,-11.2,0.32,79,6.708203932499369,43,0,0.0,0
202,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,12,0.0,7
203,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
204,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
205,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
206,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
207,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
208,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
209,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
210,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
211,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
212,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
213,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
214,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
215,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
216,0.3,0.0064,-11.2,0.32,91,6.708203932499369,50,0,0.0,0
217,0.3,0.0064,-11.2,0.32,97,8.06225774829855,55,6,1.3540538157991797,5
218,0.3,0.0064,-11.2,0.32,97,8.06225774829855,55,0,0.0,0
219,0.3,0.0064,-11.2,0.32,97,8.06225774829855,55,0,0.0,0
220,0.3,0.0064,-11.2,0.32,97,8.06225774829855,55,0,0.0,0
221,0.3,0.0064,-11.2,0.32,97,8.06225774829855,55,0,0.0,0
222,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,12,0.0,4
223,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
224,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
225,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
226,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
227,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
228,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
229,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
230,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
231,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
232,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
233,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
234,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
235,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
236,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
237,0.3,0.0064,-11.2,0.32,109,8.06225774829855,59,0,0.0,0
238,0.3,0.0064,-11.2,0.32,127,8.06225774829855,50,18,0.0,-9
239,0.3,0.0064,-11.2,0.32,127,8.06225774829855,50,0,0.0,0
240,0.3,0.0064,-11.2,0.32,127,8.06225774829855,50,0,0.0,0
241,0.3,0.0064,-11.2,0.32,127,8.06225774829855,50,0,0.0,0
242,0.3,0.0064,-11.2,0.32,139,8.06225774829855,46,12,0.0,-4
243,0.3,0.0064,-11.2,0.32,139,8.06225774829855,46,0,0.0,0
244,0.3,0.0064,-11.2,0.32,139,8.06225774829855,46,0,0.0,0
245,0.3,0.0064,-11.2,0.32,139,8.06225774829855,46,0,0.0,0
246,0.3,0.0064,-11.2,0.32,139,8.06225774829855,46,0,0.0,0
247,0.3,0.0064,-11.2,0.32,139,8.06225774829855,46,0,0.0,0
248,0.3,0.0064,-11.2,0.32,139,8.06225774829855,46,0,0.0,0
249,0.3,0.0064,-11.2,0.32,139,8.06225774829855,46,0,0.0,0
250,0.3,0.0064,-11.2,0.32,139,8.06225774829855,46,0,0.0,0
251,0.3,0.0064,-11.2,0.32,139,8.06225774829855,46,0,0.0,0
252,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,6,0.8820141617006101,5
253,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
254,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
255,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
256,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
257,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
258,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
259,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
260,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
261,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
262,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
263,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
264,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
265,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
266,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
267,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
268,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
269,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
270,0.3,0.0064,-11.2,0.32,145,8.94427190999916,51,0,0.0,0
271,0.3,0.0064,-11.2,0.32,157,8.94427190999916,55,12,0.0,4
272,0.3,0.0064,-11.2,0.32,157,8.94427190999916,55,0,0.0,0
273,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,12,0.0,3
274,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,0,0.0,0
275,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,0,0.0,0
276,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,0,0.0,0
277,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,0,0.0,0
278,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,0,0.0,0
279,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,0,0.0,0
280,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,0,0.0,0
281,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,0,0.0,0
282,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,0,0.0,0
283,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,0,0.0,0
284,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,0,0.0,0
285,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,0,0.0,0
286,0.3,0.0064,-11.2,0.32,169,8.94427190999916,58,0,0.0,0
287,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,6,1.3513582309878416,5
288,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
289,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
290,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
291,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
292,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
293,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
294,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
295,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
296,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
297,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
298,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
299,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
300,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
301,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
302,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
303,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
304,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
305,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
306,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
307,0.3,0.0064,-11.2,0.32,175,10.295630140987,63,0,0.0,0
308,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,24,0.0,7
309,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,0,0.0,0
310,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,0,0.0,0
311,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,0,0.0,0
312,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,0,0.0,0
313,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,0,0.0,0
314,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,0,0.0,0
315,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,0,0.0,0
316,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,0,0.0,0
317,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,0,0.0,0
318,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,0,0.0,0
319,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,0,0.0,0
320,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,0,0.0,0
321,0.3,0.0064,-11.2,0.32,199,10.295630140987,70,0,0.0,0
322,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,6,0.8847097465119482,5
323,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
324,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
325,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
326,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
327,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
328,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
329,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
330,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
331,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
332,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
333,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
334,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
335,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
336,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
337,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
338,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
339,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
340,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
341,0.3,0.0064,-11.2,0.32,205,11.180339887498949,75,0,0.0,0
342,0.3,0.0064,-11.2,0.32,217,11.180339887498949,79,12,0.0,4
343,0.3,0.0064,-11.2,0.32,229,11.180339887498949,82,12,0.0,3
344,0.3,0.0064,-11.2,0.32,229,11.180339887498949,82,0,0.0,0
345,0.3,0.0064,-11.2,0.32,229,11.180339887498949,82,0,0.0,0
346,0.3,0.0064,-11.2,0.32,229,11.180339887498949,82,0,0.0,0
347,0.3,0.0064,-11.2,0.32,229,11.180339887498949,82,0,0.0,0
348,0.3,0.0064,-11.2,0.32,229,11.180339887498949,82,0,0.0,0
